transaction_date,owner,ticker,asset_description,asset_type,type,amount,comment,senator,ptr_link
10/25/2019,Joint,ALB,Albemarle Corporation,Stock,Purchase,"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/3000341a-63cf-4512-876d-9bf80a74eaf7/
10/23/2019,Spouse,MSFT,Microsoft Corporation,Stock,Purchase,"$1,001 - $15,000",fran45,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/43a27c67-0c46-4c8b-97bd-33cf17185cce/
10/17/2019,Spouse,KTB,"Kontoor Brands, Inc.",Stock,Sale (Full),"$1,001 - $15,000",fran45,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/43a27c67-0c46-4c8b-97bd-33cf17185cce/
10/01/2019,Spouse,KTB,"Kontoor Brands, Inc.",Stock,Purchase,"$1,001 - $15,000",fran45,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/43a27c67-0c46-4c8b-97bd-33cf17185cce/
10/01/2019,Spouse,AMZN,"Amazon.com, Inc.",Stock,Sale (Full),"$1,001 - $15,000",fran45,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/43a27c67-0c46-4c8b-97bd-33cf17185cce/
10/31/2019,Spouse,MA,Mastercard Incorporated,Stock,Purchase,"$15,001 - $50,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/43a27c67-0c46-4c8b-97bd-33cf17185cce/
10/15/2019,Spouse,AAPL,Apple Inc.,Stock,Sale (Full),"$15,001 - $50,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/43a27c67-0c46-4c8b-97bd-33cf17185cce/
10/01/2019,Spouse,NVDA,NVIDIA Corporation,Stock,Purchase,"$1,001 - $15,000",R,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/43a27c67-0c46-4c8b-97bd-33cf17185cce/
10/31/2019,Spouse,NFLX,"Netflix, Inc.",Stock,Purchase,"$1,001 - $15,000",555,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/43a27c67-0c46-4c8b-97bd-33cf17185cce/
10/01/2019,Spouse,NFLX,"Netflix, Inc.",Stock,Purchase,"$1,001 - $15,000",555,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/43a27c67-0c46-4c8b-97bd-33cf17185cce/
10/03/2019,Spouse,AAPL,Apple Inc.,Stock,Purchase,"$15,001 - $50,000",sep,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/43a27c67-0c46-4c8b-97bd-33cf17185cce/
10/01/2019,Spouse,CELG,Celgene Corporation,Stock,Sale (Full),"$1,001 - $15,000",sep,Pat Roberts,https://efdsearch.senate.gov/search/view/ptr/43a27c67-0c46-4c8b-97bd-33cf17185cce/
10/16/2019,Spouse,--,"Surgical Information Sciences <div class=""text-muted""> <em>Company:</em> Surgical Information Sciences &nbsp;(Alpharetta, CA) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Health Management Systems</div>",Non-Public Stock,Purchase,"$15,001 - $50,000",--,Tina Smith,https://efdsearch.senate.gov/search/view/ptr/2c7444a7-64a1-412c-a6d7-c6b3c54de9fe/
10/21/2019,Self,IBM,International Business Machines Corporation,Stock,Purchase,"$50,001 - $100,000",--,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/2d940cf0-3a7b-4b26-bcce-2e94b43c3af6/
06/28/2018,Spouse,--,"Surgical Information Sciences <div class=""text-muted""> <em>Company:</em> Surgical Information Sciences &nbsp;(Alpharetta, CA) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Health Management Systems</div>",Non-Public Stock,Purchase,"$15,001 - $50,000",--,Tina Smith,https://efdsearch.senate.gov/search/view/ptr/e9e4b334-837b-46ad-86c1-f582d040faed/
09/10/2019,Spouse,--,"ME Muni Bond Waterville ME GO <div class=""text-muted""><em>Rate/Coupon:</em> 2.0%<br> <em>Matures:</em> 10/01/2023</div>",Municipal Security,Purchase,"$15,001 - $50,000",--,"Angus S King, Jr.",https://efdsearch.senate.gov/search/view/ptr/aae3bfc5-4f9c-4f5d-abf9-2128847ebcab/
09/25/2019,Spouse,WFC,Wells Fargo &amp; Company,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Spouse,DIS,The Walt Disney Company,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Spouse,3V64.TI,VISA - CLASSE A,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Spouse,VZ,Verizon Communications Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Spouse,TXN,Texas Instruments Incorporated,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Spouse,JNK,SPDR Bloomberg Barclays High Yield Bond ETF,Stock,Sale (Full),"$15,001 - $50,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Spouse,OXY,Occidental Petroleum Corporation,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Spouse,MPC,Marathon Petroleum Corporation,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Spouse,JNJ,Johnson &amp; Johnson,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Spouse,INTC,Intel Corporation,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Spouse,GILD,"Gilead Sciences, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Spouse,GIS,"General Mills, Inc.",Stock,Sale (Full),"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Spouse,0QZI.IL,FACEBOOK INC FACEBOOK CLASS A,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Spouse,XOM,Exxon Mobil Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Spouse,COST,Costco Wholesale Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Spouse,KO,The Coca-Cola Company,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Spouse,AAPL,Apple Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Self,WFC,Wells Fargo &amp; Company,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Self,DIS,The Walt Disney Company,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Self,3V64.TI,VISA - CLASSE A,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Self,VZ,Verizon Communications Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Self,USB,U.S. Bancorp,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Self,TXN,Texas Instruments Incorporated,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Self,JNK,SPDR Bloomberg Barclays High Yield Bond ETF,Stock,Sale (Partial),"$15,001 - $50,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Self,OXY,Occidental Petroleum Corporation,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Self,MSFT,Microsoft Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Self,MPC,Marathon Petroleum Corporation,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Self,JNJ,Johnson &amp; Johnson,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Self,INTC,Intel Corporation,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Self,GILD,"Gilead Sciences, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Self,GIS,"General Mills, Inc.",Stock,Sale (Full),"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Self,0QZI.IL,FACEBOOK INC FACEBOOK CLASS A,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Self,XOM,Exxon Mobil Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Self,CVS,CVS Health Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Self,COST,Costco Wholesale Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Self,KO,The Coca-Cola Company,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Self,BRK-B,Berkshire Hathaway Inc.,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Self,BAC,Bank of America Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Self,AAPL,Apple Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/25/2019,Self,AMZN,"Amazon.com, Inc.",Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,  ",https://efdsearch.senate.gov/search/view/ptr/6dd15e55-0abc-46ee-bbf6-6d543b6f7e90/
09/30/2019,Self,UNH,UnitedHealth Group Incorporated,Stock,Sale (Full),"$15,001 - $50,000",--,James M Inhofe,https://efdsearch.senate.gov/search/view/ptr/dfa68b2c-684c-4777-9055-f65edb04acba/
09/30/2019,Self,XBI,SPDR S&amp;P Biotech ETF,Stock,Sale (Full),"$15,001 - $50,000",--,James M Inhofe,https://efdsearch.senate.gov/search/view/ptr/dfa68b2c-684c-4777-9055-f65edb04acba/
09/16/2019,Spouse,--,"Federal Farm Credit Bk 3133EGU94 <div class=""text-muted""><em>Rate/Coupon:</em> 2.300%<br> <em>Matures:</em> 12/14/2022</div>",Corporate Bond,Sale (Full),"$15,001 - $50,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/79725ebd-f89c-4549-80f5-4c04e7e6264c/
09/18/2019,Spouse,--,"Federal Farm Credit Bk 3133EKQ90 <div class=""text-muted""><em>Rate/Coupon:</em> 2.000%<br> <em>Matures:</em> 09/23/2022</div>",Corporate Bond,Purchase,"$15,001 - $50,000",--,Susan M Collins,https://efdsearch.senate.gov/search/view/ptr/79725ebd-f89c-4549-80f5-4c04e7e6264c/
09/06/2019,Self,--,"Snap + Style, Inc. <div class=""text-muted""> <em>Company:</em> Snap + Style, Inc. &nbsp;(Washington, DC) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Online Fashion Advisory &amp; Shopping Website</div>",Non-Public Stock,Purchase,"$50,001 - $100,000",--,Mark R Warner,https://efdsearch.senate.gov/search/view/ptr/9eed67f0-288a-440a-b8fb-cda5a43aebe5/
08/27/2019,Joint,TSLA,"Tesla, Inc.",Stock,Sale (Full),"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/6afab8c4-aaf4-464a-9c1c-4e04b229e77f/
08/27/2019,Self,CVS,CVS Health Corporation,Stock,Purchase,"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/6afab8c4-aaf4-464a-9c1c-4e04b229e77f/
08/27/2019,Self,T,AT&amp;T Inc.,Stock,Purchase,"$1,001 - $15,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/6afab8c4-aaf4-464a-9c1c-4e04b229e77f/
08/27/2019,Self,TSLA,"Tesla, Inc.",Stock,Sale (Full),"$15,001 - $50,000",--,Sheldon Whitehouse,https://efdsearch.senate.gov/search/view/ptr/6afab8c4-aaf4-464a-9c1c-4e04b229e77f/
10/03/2019,Self,--,"Westbrand, Inc. stock <div class=""text-muted""> <em>Company:</em> Westbrand, Inc. &nbsp;(Minot, ND) </div> <div class=""text-muted""><em>Description:</em>&nbsp;Bank holding company of First Western Bank</div>",Non-Public Stock,Purchase,"$15,001 - $50,000",--,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/6574125b-c104-4e63-8b55-b4f54bacd2d0/
09/17/2019,Spouse,--,"Port Portland Oregon Airport Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 07/01/2030</div>",Municipal Security,Purchase,"$500,001 - $1,000,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/aa752d93-269e-4b31-926e-fe2463d924ac/
09/17/2019,Spouse,--,"Port Portland Oregon Airport Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 07/01/2030</div>",Municipal Security,Purchase,"$500,001 - $1,000,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/aa752d93-269e-4b31-926e-fe2463d924ac/
09/17/2019,Spouse,--,"Port Portland Oregon Airport Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 07/01/2030</div>",Municipal Security,Purchase,"$500,001 - $1,000,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/aa752d93-269e-4b31-926e-fe2463d924ac/
09/09/2019,Spouse,--,"Dallas Fort Worth Texas International Airport Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 11/01/2026</div>",Municipal Security,Purchase,"$250,001 - $500,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/aa752d93-269e-4b31-926e-fe2463d924ac/
09/09/2019,Spouse,--,"Dallas Fort Worth Texas International Airport Revenue Bond <div class=""text-muted""><em>Rate/Coupon:</em> 5.0%<br> <em>Matures:</em> 11/01/2026</div>",Municipal Security,Purchase,"$250,001 - $500,000",--,Rick Scott,https://efdsearch.senate.gov/search/view/ptr/aa752d93-269e-4b31-926e-fe2463d924ac/
09/27/2019,Spouse,--,"CS Contingent Autocall on MSFT <div class=""text-muted""><em>Rate/Coupon:</em> 8.25%<br> <em>Matures:</em> 09/30/2022</div>",Corporate Bond,Purchase,"$15,001 - $50,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/2f4e395e-7637-45c7-a85a-72823a87918c/
09/27/2019,Spouse,--,"CS Contingent Autocall on MSFT <div class=""text-muted""><em>Rate/Coupon:</em> 8.25%<br> <em>Matures:</em> 09/30/2022</div>",Corporate Bond,Purchase,"$15,001 - $50,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/2f4e395e-7637-45c7-a85a-72823a87918c/
09/19/2019,Spouse,--,"JP Morgan Chase Step-up <div class=""text-muted""><em>Rate/Coupon:</em> 2.5%<br> <em>Matures:</em> 09/23/2029</div>",Corporate Bond,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/2f4e395e-7637-45c7-a85a-72823a87918c/
09/19/2019,Spouse,--,"JPM Contingent Autocall on NVDA <div class=""text-muted""><em>Rate/Coupon:</em> 12.1%<br> <em>Matures:</em> 06/18/2020</div>",Corporate Bond,Sale (Full),"$15,001 - $50,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/2f4e395e-7637-45c7-a85a-72823a87918c/
09/19/2019,Spouse,--,"JPM Contingent Autocall on NVDA <div class=""text-muted""><em>Rate/Coupon:</em> 12.1%<br> <em>Matures:</em> 06/18/2020</div>",Corporate Bond,Sale (Full),"$15,001 - $50,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/2f4e395e-7637-45c7-a85a-72823a87918c/
09/19/2019,Spouse,--,"JP Morgan Chase Step-up <div class=""text-muted""><em>Rate/Coupon:</em> 2.5%<br> <em>Matures:</em> 09/23/2029</div>",Corporate Bond,Purchase,"$1,001 - $15,000",--,Thomas R Carper,https://efdsearch.senate.gov/search/view/ptr/2f4e395e-7637-45c7-a85a-72823a87918c/
09/26/2019,Joint,FDX,FedEx Corporation,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/c6302d00-ca70-47b4-82be-71cbd2c0ecf5/
09/04/2019,Joint,CZR,Casars Entertainment Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/c6302d00-ca70-47b4-82be-71cbd2c0ecf5/
09/05/2019,Joint,CZR,Casars Entertainment Corporation,Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/c6302d00-ca70-47b4-82be-71cbd2c0ecf5/
09/11/2019,Joint,ENTG,"Entegris, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/c6302d00-ca70-47b4-82be-71cbd2c0ecf5/
09/13/2019,Joint,ENTG,"Entegris, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/c6302d00-ca70-47b4-82be-71cbd2c0ecf5/
09/16/2019,Joint,BPL,"Buckeye Partners, L.P.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/c6302d00-ca70-47b4-82be-71cbd2c0ecf5/
09/16/2019,Joint,BPL,"Buckeye Partners, L.P.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/c6302d00-ca70-47b4-82be-71cbd2c0ecf5/
09/16/2019,Joint,BPL,"Buckeye Partners, L.P.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/c6302d00-ca70-47b4-82be-71cbd2c0ecf5/
09/17/2019,Joint,BPL,"Buckeye Partners, L.P.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/c6302d00-ca70-47b4-82be-71cbd2c0ecf5/
09/18/2019,Joint,ET,Energy Transfer LP,Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/c6302d00-ca70-47b4-82be-71cbd2c0ecf5/
09/18/2019,Joint,WES,"Western Midstream Partners, LP",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/c6302d00-ca70-47b4-82be-71cbd2c0ecf5/
09/18/2019,Joint,WES,"Western Midstream Partners, LP",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/c6302d00-ca70-47b4-82be-71cbd2c0ecf5/
09/18/2019,Joint,BPL,"Buckeye Partners, L.P.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/c6302d00-ca70-47b4-82be-71cbd2c0ecf5/
09/18/2019,Joint,BPL,"Buckeye Partners, L.P.",Stock,Sale (Full),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/c6302d00-ca70-47b4-82be-71cbd2c0ecf5/
09/19/2019,Joint,OKE,"ONEOK, Inc.",Stock,Sale (Partial),"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/c6302d00-ca70-47b4-82be-71cbd2c0ecf5/
09/19/2019,Joint,AAPL,Apple Inc.,Stock,Sale (Partial),"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/c6302d00-ca70-47b4-82be-71cbd2c0ecf5/
09/19/2019,Joint,DCP,"DCP Midstream, LP",Stock,Purchase,"$1,001 - $15,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/c6302d00-ca70-47b4-82be-71cbd2c0ecf5/
09/25/2019,Joint,GPK,Graphic Packaging Holding Company,Stock,Sale (Partial),"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/c6302d00-ca70-47b4-82be-71cbd2c0ecf5/
09/25/2019,Joint,SU,Suncor Energy Inc.,Stock,Sale (Full),"$15,001 - $50,000",--,"David A Perdue , Jr",https://efdsearch.senate.gov/search/view/ptr/c6302d00-ca70-47b4-82be-71cbd2c0ecf5/
08/29/2019,Self,--,"VICTORIA TEX INDPT SCH DIST ULTD TAX REF BDS 2016 (Exchanged) <br> VICTORIA TEX INDPT SCH DIST UNREFUNDED BALANCE-REF (Received) <div class=""text-muted""><em>Rate/Coupon:</em> 3.125%<br> <em>Matures:</em> 02/15/2038</div>",Municipal Security,Exchange,"$1,001 - $15,000",--,Gary C Peters,https://efdsearch.senate.gov/search/view/ptr/bc5764cd-d819-4508-bfda-8b3931bcfeb6/
08/29/2019,Self,--,"VICTORIA TEX INDPT SCH DIST ULTD TAX REF BDS 2016 (Exchanged) <br> VICTORIA TEX INDPT SCH DIST PREREFUNDED-REF (Received) <div class=""text-muted""><em>Rate/Coupon:</em> 3.125%<br> <em>Matures:</em> 02/15/2038</div>",Municipal Security,Exchange,"$1,001 - $15,000",--,Gary C Peters,https://efdsearch.senate.gov/search/view/ptr/bc5764cd-d819-4508-bfda-8b3931bcfeb6/
09/24/2019,Self,NFLX,"Netflix, Inc.",Stock,Purchase,"$50,001 - $100,000",--,John Hoeven,https://efdsearch.senate.gov/search/view/ptr/eefc9098-5599-4d95-9044-f7d0173034ce/
